order_id,date,name,price,quantity,servings_per_container,calories,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,day(date)
5,2019-03-24,Fusia Chicken Fried Rice,3.85,2,1,440,12,2,0,90,1020,62,4,6,24,24
5,2019-03-24,Sausage,3.29,1,8,400,20,8,0,200,1360,8,0,8,48,24
5,2019-03-24,Sausage,3.29,1,8,400,20,8,0,200,1360,8,0,8,48,24
5,2019-03-24,Bremer Garlic Chicken Skillet,3.65,2,2.625,840,110.25,21,0,78.75,2362.5,110.25,15.75,15.75,840,24
5,2019-03-24,Savoritz Woven Whole Wheat Cracker,1.95,2,8.25,2310,99,24.75,0,0,3300,346.5,49.5,0,49.5,24
5,2019-03-24,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,2,1,700,12,2,0,50,1020,94,12,12,32,24
5,2019-03-24,Hummus,2.55,1,10,1100,70,5,0,0,2200,90,20,10,30,24
5,2019-03-24,Kirkwood Crispy Chicken Strips,5.49,2,5,3170,133,25,0,420,10000,300,0,0,217,24
5,2019-03-24,Casa Mamita Beef and Bean Burritos,2.99,2,8,5280,240,80,0,240,8000,624,64,16,144,24
5,2019-03-24,Season's Choice Steamable Mediterranean Quinoa,3.29,1,2.4,360,10.799999999999999,1.2,0,0,1080,50.4,7.199999999999999,7.199999999999999,12,24
5,2019-03-24,Parkview Polska Kielbasa,2.55,1,7,1190,105,35,0,245,3640,14,0,7,42,24
5,2019-03-24,12 Grain Bread,2.09,1,16,1760,32,0,0,0,3360,320,48,48,80,24
5,2019-03-24,Simply Nature Creamy Almond Butter,5.39,1,5.21,1979.8,177.14,10.42,0,0,677.3,72.94,31.259999999999998,20.84,62.519999999999996,24
6,2019-03-30,12 Grain Bread,2.09,1,16,1760,32,0,0,0,3360,320,48,48,80,30
6,2019-03-30,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,30
6,2019-03-30,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,30
6,2019-03-30,Hummus,2.55,2,10,2200,140,10,0,0,4400,180,40,20,60,30
6,2019-03-30,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,2,1,700,12,2,0,50,1020,94,12,12,32,30
6,2019-03-30,Savoritz Cracked Pepper Woven Wheat Crackers,2.09,2,8.25,2310,99,24.75,0,0,3300,346.5,49.5,0,49.5,30
6,2019-03-30,Savoritz Woven Whole Wheat Cracker,1.95,1,8.25,1155,49.5,12.375,0,0,1650,173.25,24.75,0,24.75,30
6,2019-03-30,Casa Mamita Beef and Bean Burritos,2.99,1,8,2640,120,40,0,120,4000,312,32,8,72,30
6,2019-03-30,Kirkwood Crispy Chicken Strips,5.49,2,5,3170,133,25,0,420,10000,300,0,0,217,30
6,2019-03-30,Bremer Garlic Chicken Skillet,3.65,1,2.625,420,55.125,10.5,0,39.375,1181.25,55.125,7.875,7.875,420,30
6,2019-03-30,Season's Choice Steamable Mediterranean Quinoa,3.29,2,2.4,720,21.599999999999998,2.4,0,0,2160,100.8,14.399999999999999,14.399999999999999,24,30
6,2019-03-30,Friendly Farms Vanilla Unsweetened Almondmilk,2.29,2,8,480,40,0,0,0,2720,16,4,0,16,30
6,2019-03-30,Salad,0.99,1,3,45,0,0,0,0,60,12,3,6,3,30
6,2019-03-30,Kirkwood Garlic and Herb Chicken Breast,7.69,1,1,1160,40,0,0,0,0,0,0,0,240,30
7,2019-04-06,Hummus,2.55,2,10,2200,140,10,0,0,4400,180,40,20,60,6
7,2019-04-06,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,2,1,700,12,2,0,50,1020,94,12,12,32,6
7,2019-04-06,Savoritz Woven Whole Wheat Cracker,1.95,2,8.25,2310,99,24.75,0,0,3300,346.5,49.5,0,49.5,6
7,2019-04-06,12 Grain Bread,2.09,1,16,1760,32,0,0,0,3360,320,48,48,80,6
7,2019-04-06,Eggs,1.35,1,12,840,60,18,0,2220,840,0,0,0,72,6
7,2019-04-06,Season's Choice Steamable Mediterranean Quinoa,3.29,2,2.4,720,21.599999999999998,2.4,0,0,2160,100.8,14.399999999999999,14.399999999999999,24,6
7,2019-04-06,Whole And Simple Southwest Chicken Quinoa Bowl,3.29,2,1,620,12,2,0,40,960,100,14,10,30,6
7,2019-04-06,Salad,2.09,1,3,45,0,0,0,0,60,12,3,6,3,6
7,2019-04-06,Appleton Farms Premium Sliced Bacon,3.49,1,12,504,38.400000000000006,12,2.4000000000000004,108,2304,1.44,0,0,36,6
7,2019-04-06,Southern Grove Cashew Halves and Pieces,5.19,1,12,2040,168,36,0,0,1440,84,12,0,72,6
7,2019-04-06,Salad,1.35,1,3,45,0,0,0,0,60,12,3,6,3,6
7,2019-04-06,Southern Grove Pitted Dates,2.09,1,5.6,604.8,0,0,0,0,22.4,151.2,16.799999999999997,152.32,7.279999999999999,6
7,2019-04-06,Apples,4.39,2,6,864,0.46799999999999997,0,0,0,12,12,39.599999999999994,171.60000000000002,4.32,6
7,2019-04-06,Apples,4.39,2,6,864,0.46799999999999997,0,0,0,12,12,39.599999999999994,171.60000000000002,4.32,6
8,2019-04-15,12 Grain Bread,2.09,1,16,1760,32,0,0,0,3360,320,48,48,80,15
8,2019-04-15,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,15
8,2019-04-15,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,15
8,2019-04-15,Parkview Polska Kielbasa,2.55,1,7,1190,105,35,0,245,3640,14,0,7,42,15
8,2019-04-15,Whole And Simple Southwest Chicken Quinoa Bowl,3.29,2,1,620,12,2,0,40,960,100,14,10,30,15
8,2019-04-15,Fusia Chicken Lo Mein,3.85,1,3,570,4.5,0,0,45,2190,105,9,30,30,15
8,2019-04-15,Kirkwood Crispy Chicken Strips,5.49,1,5,1585,66.5,12.5,0,210,5000,150,0,0,108.5,15
8,2019-04-15,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,1,1,350,6,1,0,25,510,47,6,6,16,15
8,2019-04-15,Savoritz Woven Whole Wheat Cracker,1.95,2,8.25,2310,99,24.75,0,0,3300,346.5,49.5,0,49.5,15
8,2019-04-15,Bremer Garlic Chicken Skillet,3.65,1,2.625,420,55.125,10.5,0,39.375,1181.25,55.125,7.875,7.875,420,15
8,2019-04-15,Casa Mamita Beef and Bean Burritos,2.99,2,8,5280,240,80,0,240,8000,624,64,16,144,15
8,2019-04-15,Friendly Farms Vanilla Unsweetened Almondmilk,2.29,2,8,480,40,0,0,0,2720,16,4,0,16,15
8,2019-04-15,Salad,0.99,1,3,45,0,0,0,0,60,12,3,6,3,15
8,2019-04-15,Appleton Farms Premium Sliced Bacon,3.49,1,12,504,38.400000000000006,12,2.4000000000000004,108,2304,1.44,0,0,36,15
8,2019-04-15,Southern Grove Cashew Halves and Pieces,5.19,2,12,4080,336,72,0,0,2880,168,24,0,144,15
8,2019-04-15,Salad,2.09,1,3,45,0,0,0,0,60,12,3,6,3,15
8,2019-04-15,Kirkwood Boneless Chicken Wyngz,5.49,2,7.4,2960,148,29.6,0,518,9324,177.60000000000002,0,29.6,236.8,15
8,2019-04-15,Park Street Deli Chicken Fajitas,6.59,2,2,640,9.6,0,0,256,4864,48,6.4,25.6,83.2,15
8,2019-04-15,Bremer Chicken Pot Pie,0.79,3,1.25,1612.5,93.75,37.5,0,75,2812.5,146.25,15,15,45,15
9,2019-04-22,Fusia Chicken Fried Rice,3.85,1,1,220,6,1,0,45,510,31,2,3,12,22
9,2019-04-22,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,2,1,700,12,2,0,50,1020,94,12,12,32,22
9,2019-04-22,Savoritz Woven Whole Wheat Cracker,1.95,2,8.25,2310,99,24.75,0,0,3300,346.5,49.5,0,49.5,22
9,2019-04-22,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,22
9,2019-04-22,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,22
9,2019-04-22,Hummus,2.55,2,10,2200,140,10,0,0,4400,180,40,20,60,22
9,2019-04-22,Kirkwood Crispy Chicken Strips,5.49,1,5,1585,66.5,12.5,0,210,5000,150,0,0,108.5,22
9,2019-04-22,Season's Choice Steamable Mediterranean Quinoa,3.29,2,2.4,720,21.599999999999998,2.4,0,0,2160,100.8,14.399999999999999,14.399999999999999,24,22
9,2019-04-22,Friendly Farms Vanilla Unsweetened Almondmilk,2.29,2,8,480,40,0,0,0,2720,16,4,0,16,22
9,2019-04-22,Salad,0.99,1,3,45,0,0,0,0,60,12,3,6,3,22
9,2019-04-22,Whole And Simple Southwest Chicken Quinoa Bowl,3.29,2,1,620,12,2,0,40,960,100,14,10,30,22
9,2019-04-22,Salad,2.09,1,3,45,0,0,0,0,60,12,3,6,3,22
9,2019-04-22,Appleton Farms Premium Sliced Bacon,3.49,1,12,504,38.400000000000006,12,2.4000000000000004,108,2304,1.44,0,0,36,22
9,2019-04-22,Parkview Polska Kielbasa,2.55,1,7,1190,105,35,0,245,3640,14,0,7,42,22
9,2019-04-22,Park Street Deli Chicken Fajitas,6.59,2,2,640,9.6,0,0,256,4864,48,6.4,25.6,83.2,22
9,2019-04-22,Season's Choice Steamable Mixed Vegetables,0.89,1,5,175,0,0,0,0,0,20,15,0,10,22
9,2019-04-22,Season's Choice Steamable Cut Green Beans,0.89,1,5,175,0,0,0,0,0,20,15,0,10,22
9,2019-04-22,Season's Choice Extra Fine Green Beans,1.75,1,5,175,0,0,0,0,0,20,15,0,10,22
9,2019-04-22,Season's Choice Frozen Sweet Peas,1.09,1,5,175,0,0,0,0,0,20,15,0,10,22
9,2019-04-22,Salisbury Steak Dinner,2.95,3,6,2880,198,72,0,540,12420,144,18,0,144,22
9,2019-04-22,Salisbury Steak Dinner,2.95,3,6,2880,198,72,0,540,12420,144,18,0,144,22
10,2019-04-30,Fusia Chicken Fried Rice,3.85,1,1,220,6,1,0,45,510,31,2,3,12,30
10,2019-04-30,12 Grain Bread,2.09,1,16,1760,32,0,0,0,3360,320,48,48,80,30
10,2019-04-30,Savoritz Woven Whole Wheat Cracker,1.95,2,8.25,2310,99,24.75,0,0,3300,346.5,49.5,0,49.5,30
10,2019-04-30,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,2,1,700,12,2,0,50,1020,94,12,12,32,30
10,2019-04-30,Kirkwood Crispy Chicken Strips,5.49,1,5,1585,66.5,12.5,0,210,5000,150,0,0,108.5,30
10,2019-04-30,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,30
10,2019-04-30,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,30
10,2019-04-30,Friendly Farms Vanilla Unsweetened Almondmilk,2.55,1,8,240,20,0,0,0,1360,8,2,0,8,30
10,2019-04-30,Fusia Chicken Lo Mein,3.85,1,3,570,4.5,0,0,45,2190,105,9,30,30,30
10,2019-04-30,Salad,0.99,1,3,45,0,0,0,0,60,12,3,6,3,30
10,2019-04-30,Park Street Deli Chicken Fajitas,6.59,1,2,320,4.8,0,0,128,2432,24,3.2,12.8,41.6,30
10,2019-04-30,Bremer Chicken Pot Pie,0.79,3,1.25,1612.5,93.75,37.5,0,75,2812.5,146.25,15,15,45,30
10,2019-04-30,Apples,64.3,1,6,432,0.23399999999999999,0,0,0,6,6,19.799999999999997,85.80000000000001,2.16,30
10,2019-04-30,Apples,64.3,1,6,432,0.23399999999999999,0,0,0,6,6,19.799999999999997,85.80000000000001,2.16,30
10,2019-04-30,Fusia Chicken Fried Rice,3.85,1,1,220,6,1,0,45,510,31,2,3,12,30
10,2019-04-30,Season's Choice Steamable Mixed Vegetables,0.89,1,5,175,0,0,0,0,0,20,15,0,10,30
10,2019-04-30,Season's Choice Steamable Cut Green Beans,0.89,1,5,175,0,0,0,0,0,20,15,0,10,30
10,2019-04-30,Salisbury Steak Dinner,2.95,2,6,1920,132,48,0,360,8280,96,12,0,96,30
10,2019-04-30,Salisbury Steak Dinner,2.95,2,6,1920,132,48,0,360,8280,96,12,0,96,30
10,2019-04-30,Hummus,2.55,1,10,1100,70,5,0,0,2200,90,20,10,30,30
